species_name,genome_file_name,cds_file_name,gff_file_name,original_name,cds_url,genome_url,proteome_url,gff_url,source,gff_urls
verticillium_dahliae,verticillium_dahliae_genomic.fna,verticillium_dahliae_cds_from_gff.fna,verticillium_dahliae.gff,verticillium_dahliae,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=CDS_FASTA"" --output verticillium_dahliae_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=GENOME_FASTA"" --output verticillium_dahliae_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=PROT_FASTA"" --output verticillium_dahliae_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150675.1/download?include_annotation_type=GENOME_GFF"" --output verticillium_dahliae_gff_download.zip",NCBI,
saccharomyces_pastorianus,saccharomyces_pastorianus_genomic.fna,saccharomyces_pastorianus_cds_from_gff.fna,saccharomyces_pastorianus.gff,saccharomyces_pastorianus,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=CDS_FASTA"" --output saccharomyces_pastorianus_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=GENOME_FASTA"" --output saccharomyces_pastorianus_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=PROT_FASTA"" --output saccharomyces_pastorianus_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_011022315.1/download?include_annotation_type=GENOME_GFF"" --output saccharomyces_pastorianus_gff_download.zip",NCBI,
coccidioides_immitis,coccidioides_immitis_genomic.fna,coccidioides_immitis_cds_from_gff.fna,coccidioides_immitis.gff,coccidioides_immitis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=CDS_FASTA"" --output coccidioides_immitis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=GENOME_FASTA"" --output coccidioides_immitis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=PROT_FASTA"" --output coccidioides_immitis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000149335.2/download?include_annotation_type=GENOME_GFF"" --output coccidioides_immitis_gff_download.zip",NCBI,
blastomyces_dermatitidis,blastomyces_dermatitidis_genomic.fna,blastomyces_dermatitidis_cds_from_gff.fna,blastomyces_dermatitidis.gff,blastomyces_dermatitidis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=CDS_FASTA"" --output blastomyces_dermatitidis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=GENOME_FASTA"" --output blastomyces_dermatitidis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=PROT_FASTA"" --output blastomyces_dermatitidis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003525.1/download?include_annotation_type=GENOME_GFF"" --output blastomyces_dermatitidis_gff_download.zip",NCBI,
histoplasma_capsulatum,histoplasma_capsulatum_genomic.fna,histoplasma_capsulatum_cds_from_gff.fna,histoplasma_capsulatum.gff,histoplasma_capsulatum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=CDS_FASTA"" --output histoplasma_capsulatum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=GENOME_FASTA"" --output histoplasma_capsulatum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=PROT_FASTA"" --output histoplasma_capsulatum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000150115.1/download?include_annotation_type=GENOME_GFF"" --output histoplasma_capsulatum_gff_download.zip",NCBI,
penicillium_oxalicum,penicillium_oxalicum_genomic.fna,penicillium_oxalicum_cds_from_gff.fna,penicillium_oxalicum.gff,penicillium_oxalicum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=CDS_FASTA"" --output penicillium_oxalicum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=GENOME_FASTA"" --output penicillium_oxalicum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=PROT_FASTA"" --output penicillium_oxalicum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001723175.1/download?include_annotation_type=GENOME_GFF"" --output penicillium_oxalicum_gff_download.zip",NCBI,
drepanopeziza_brunnea,drepanopeziza_brunnea_genomic.fna,drepanopeziza_brunnea_cds_from_gff.fna,drepanopeziza_brunnea.gff,drepanopeziza_brunnea,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=CDS_FASTA"" --output drepanopeziza_brunnea_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=GENOME_FASTA"" --output drepanopeziza_brunnea_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=PROT_FASTA"" --output drepanopeziza_brunnea_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298775.1/download?include_annotation_type=GENOME_GFF"" --output drepanopeziza_brunnea_gff_download.zip",NCBI,
penicillium_digitatum,penicillium_digitatum_genomic.fna,penicillium_digitatum_cds_from_gff.fna,penicillium_digitatum.gff,penicillium_digitatum,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=CDS_FASTA"" --output penicillium_digitatum_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=GENOME_FASTA"" --output penicillium_digitatum_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=PROT_FASTA"" --output penicillium_digitatum_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000315645.1/download?include_annotation_type=GENOME_GFF"" --output penicillium_digitatum_gff_download.zip",NCBI,
brettanomyces_bruxellensis,brettanomyces_bruxellensis_genomic.fna,brettanomyces_bruxellensis_cds_from_gff.fna,brettanomyces_bruxellensis.gff,brettanomyces_bruxellensis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011074885.1/download?include_annotation_type=CDS_FASTA"" --output brettanomyces_bruxellensis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011074885.1/download?include_annotation_type=GENOME_FASTA"" --output brettanomyces_bruxellensis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011074885.1/download?include_annotation_type=PROT_FASTA"" --output brettanomyces_bruxellensis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011074885.1/download?include_annotation_type=GENOME_GFF"" --output brettanomyces_bruxellensis_gff_download.zip",NCBI,
botrytis_cinerea,botrytis_cinerea_genomic.fna,botrytis_cinerea_cds_from_gff.fna,botrytis_cinerea.gff,botrytis_cinerea,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143535.2/download?include_annotation_type=CDS_FASTA"" --output botrytis_cinerea_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143535.2/download?include_annotation_type=GENOME_FASTA"" --output botrytis_cinerea_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143535.2/download?include_annotation_type=PROT_FASTA"" --output botrytis_cinerea_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000143535.2/download?include_annotation_type=GENOME_GFF"" --output botrytis_cinerea_gff_download.zip",NCBI,
yarrowia_lipolytica,yarrowia_lipolytica_genomic.fna,yarrowia_lipolytica_cds_from_gff.fna,yarrowia_lipolytica.gff,yarrowia_lipolytica,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002525.2/download?include_annotation_type=CDS_FASTA"" --output yarrowia_lipolytica_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002525.2/download?include_annotation_type=GENOME_FASTA"" --output yarrowia_lipolytica_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002525.2/download?include_annotation_type=PROT_FASTA"" --output yarrowia_lipolytica_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000002525.2/download?include_annotation_type=GENOME_GFF"" --output yarrowia_lipolytica_gff_download.zip",NCBI,
trichophyton_interdigitale,trichophyton_interdigitale_genomic.fna,trichophyton_interdigitale_cds_from_gff.fna,trichophyton_interdigitale.gff,trichophyton_interdigitale,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_019359935.1/download?include_annotation_type=CDS_FASTA"" --output trichophyton_interdigitale_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_019359935.1/download?include_annotation_type=GENOME_FASTA"" --output trichophyton_interdigitale_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_019359935.1/download?include_annotation_type=PROT_FASTA"" --output trichophyton_interdigitale_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_019359935.1/download?include_annotation_type=GENOME_GFF"" --output trichophyton_interdigitale_gff_download.zip",NCBI,
aspergillus_luchuensis,aspergillus_luchuensis_genomic.fna,aspergillus_luchuensis_cds_from_gff.fna,aspergillus_luchuensis.gff,aspergillus_luchuensis,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016861625.1/download?include_annotation_type=CDS_FASTA"" --output aspergillus_luchuensis_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016861625.1/download?include_annotation_type=GENOME_FASTA"" --output aspergillus_luchuensis_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016861625.1/download?include_annotation_type=PROT_FASTA"" --output aspergillus_luchuensis_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016861625.1/download?include_annotation_type=GENOME_GFF"" --output aspergillus_luchuensis_gff_download.zip",NCBI,
komagataella_phaffii,komagataella_phaffii_genomic.fna,komagataella_phaffii_cds_from_gff.fna,komagataella_phaffii.gff,komagataella_phaffii,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000027005.1/download?include_annotation_type=CDS_FASTA"" --output komagataella_phaffii_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000027005.1/download?include_annotation_type=GENOME_FASTA"" --output komagataella_phaffii_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000027005.1/download?include_annotation_type=PROT_FASTA"" --output komagataella_phaffii_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000027005.1/download?include_annotation_type=GENOME_GFF"" --output komagataella_phaffii_gff_download.zip",NCBI,
nadsonia_fulvescens,nadsonia_fulvescens_genomic.fna,nadsonia_fulvescens_cds_from_gff.fna,nadsonia_fulvescens.gff,nadsonia_fulvescens,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_001661315.1/download?include_annotation_type=CDS_FASTA"" --output nadsonia_fulvescens_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_001661315.1/download?include_annotation_type=GENOME_FASTA"" --output nadsonia_fulvescens_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_001661315.1/download?include_annotation_type=PROT_FASTA"" --output nadsonia_fulvescens_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_001661315.1/download?include_annotation_type=GENOME_GFF"" --output nadsonia_fulvescens_gff_download.zip",NCBI,
colletotrichum_gloeosporioides,colletotrichum_gloeosporioides_genomic.fna,colletotrichum_gloeosporioides_cds_from_gff.fna,colletotrichum_gloeosporioides.gff,colletotrichum_gloeosporioides,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011800055.1/download?include_annotation_type=CDS_FASTA"" --output colletotrichum_gloeosporioides_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011800055.1/download?include_annotation_type=GENOME_FASTA"" --output colletotrichum_gloeosporioides_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011800055.1/download?include_annotation_type=PROT_FASTA"" --output colletotrichum_gloeosporioides_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011800055.1/download?include_annotation_type=GENOME_GFF"" --output colletotrichum_gloeosporioides_gff_download.zip",NCBI,
cyberlindnera_jadinii,cyberlindnera_jadinii_genomic.fna,cyberlindnera_jadinii_cds_from_gff.fna,cyberlindnera_jadinii.gff,cyberlindnera_jadinii,"curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001661405.1/download?include_annotation_type=CDS_FASTA"" --output cyberlindnera_jadinii_cds_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001661405.1/download?include_annotation_type=GENOME_FASTA"" --output cyberlindnera_jadinii_genome_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001661405.1/download?include_annotation_type=PROT_FASTA"" --output cyberlindnera_jadinii_prot_download.zip","curl -H ""Accept: application/zip"" ""https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001661405.1/download?include_annotation_type=GENOME_GFF"" --output cyberlindnera_jadinii_gff_download.zip",NCBI,
